genosisEntityIRI;localOSNEntityIRI
http://example.org/genosis.owl#Global:deniesPost;http://saralutami.org/OnlineSocialNetworkSites#deniesPost^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:subscribesTo;http://saralutami.org/OnlineSocialNetworkSites#subscribesToCreator^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:deletesMessage;http://saralutami.org/OnlineSocialNetworkSites#deletesMessage^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:BirthdayPost;http://saralutami.org/OnlineSocialNetworkSites#BirthdayPosts^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasAvatarCreationTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasBirthdayPostTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/OnlineSocialNetworkSites#hasVideoLocation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:StoryHighlight;http://saralutami.org/OnlineSocialNetworkSites#StoryHighlights^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:Moderator;http://saralutami.org/OnlineSocialNetworkSites#Moderator^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasPhoneNumber;http://saralutami.org/OnlineSocialNetworkSites#hasPhoneNumber^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasInteractionTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:postCount;http://saralutami.org/OnlineSocialNetworkSites#hasPostCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:Story;http://saralutami.org/OnlineSocialNetworkSites#Stories^^<http://www.w3.org/2001/XMLSchema#string>
